id,title,description
1,Interstellar,"A team of explorers travels through a wormhole in space to ensure humanity’s survival. The journey tests their courage and understanding of physics."
2,Inception,"A skilled thief enters people’s dreams to steal secrets and plant ideas. Reality and imagination blur in a high-stakes heist."
3,The Dark Knight,"Batman faces the Joker, a criminal mastermind spreading chaos in Gotham. The battle challenges morality, justice, and order."
4,The Matrix,"A hacker discovers the world is a simulated reality controlled by machines. He joins a rebellion to free humanity."
5,The Social Network,"The story of Facebook’s creation, exploring ambition, friendship, and legal battles. It highlights the rise of social media."
6,The Imitation Game,"Alan Turing works to crack the Nazi Enigma code during WWII. His intelligence and struggles shape the course of history."
7,Gravity,"Two astronauts struggle to survive after their shuttle is destroyed in space. They rely on ingenuity and teamwork to return home."
8,Her,"A lonely writer falls in love with an intelligent operating system. The story explores love, consciousness, and technology."
9,The Martian,"An astronaut stranded on Mars uses science and creativity to survive. He must communicate with Earth to get rescued."
10,Arrival,"A linguist attempts to communicate with aliens who have landed on Earth. Understanding their language may save humanity."
11,Avatar,"Humans colonize Pandora to mine resources. A marine becomes torn between his mission and the planet’s indigenous people."
12,Gladiator,"A betrayed Roman general seeks revenge against an emperor. His journey combines honor, family, and vengeance."
13,Titanic,"A young couple falls in love aboard the doomed RMS Titanic. Their romance faces societal class and tragedy."
14,Jurassic Park,"Scientists clone dinosaurs for a theme park. Chaos ensues when the creatures escape their enclosures."
15,Avengers: Endgame,"The Avengers attempt to undo Thanos’ destruction. They face emotional and physical challenges to save the universe."
16,Black Panther,"The king of Wakanda defends his nation against internal and external threats. Tradition, technology, and responsibility collide."
17,Guardians of the Galaxy,"A group of intergalactic misfits must stop a powerful villain. Their teamwork, humor, and courage save the galaxy."
18,Iron Man,"A billionaire engineer builds a powerful suit to fight evil. He discovers responsibility and heroism along the way."
19,Doctor Strange,"A surgeon discovers magic after a tragic accident. He learns mystical arts to defend the world from supernatural threats."
20,Spider-Man: Homecoming,"Peter Parker balances high school life with being a superhero. He faces challenges from villains and his own insecurities."
21,Wonder Woman,"An Amazonian warrior leaves her island to stop a world war. She learns about humanity, justice, and love."
22,Man of Steel,"Clark Kent discovers his alien origins and destiny. He becomes Superman to protect Earth from threats."
23,Batman Begins,"Bruce Wayne trains to fight crime after witnessing his parents’ death. He faces his fears and forms his alter ego, Batman."
24,The Lord of the Rings: Fellowship of the Ring,"A hobbit embarks on a quest to destroy a powerful ring. Friendship and bravery guide the fellowship’s journey."
25,The Lord of the Rings: Two Towers,"The fellowship is scattered, and war looms. Courage and hope drive their struggle against evil forces."
26,The Lord of the Rings: Return of the King,"The final battle against Sauron begins. Sacrifice and heroism determine the fate of Middle-earth."
27,Hobbit: An Unexpected Journey,"Bilbo Baggins joins dwarves on a quest to reclaim their homeland. Adventure and courage lead him into danger."
28,Hobbit: The Desolation of Smaug,"Bilbo confronts the dragon Smaug. He grows in bravery and resourcefulness on his journey."
29,Hobbit: The Battle of the Five Armies,"Allies unite for a massive battle. Strategy, loyalty, and sacrifice determine the outcome of war."
30,Star Wars: A New Hope,"Luke Skywalker begins his journey as a Jedi. He helps the Rebellion fight the Empire and learns about destiny."
31,Star Wars: The Empire Strikes Back,"The Empire pursues the Rebellion relentlessly. Luke trains with Yoda while confronting personal challenges."
32,Star Wars: Return of the Jedi,"The final confrontation with the Empire occurs. Luke and his friends fight to restore peace to the galaxy."
33,Star Wars: The Force Awakens,"A new hero emerges while the First Order rises. Old legends return to guide the next generation."
34,Star Wars: The Last Jedi,"Rebellion forces struggle against the First Order. Characters face moral dilemmas and personal growth challenges."
35,Star Wars: The Rise of Skywalker,"The final battle against the dark side unfolds. Heroes confront legacy, destiny, and the future of the galaxy."
36,Avengers: Infinity War,"The Avengers face Thanos, who seeks all Infinity Stones. Stakes are high as heroes unite and struggle to survive."
37,Thor: Ragnarok,"Thor must prevent the destruction of Asgard. Humor, courage, and teamwork shape the battle against Hela."
38,Guardians of the Galaxy Vol. 2,"The guardians explore family, friendship, and cosmic threats. Their adventures deepen character bonds."
39,Black Widow,"Natasha Romanoff confronts her past. Espionage, family, and heroism intertwine in her journey."
40,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi faces his father’s criminal empire. Martial arts, destiny, and identity are central themes."
41,Captain Marvel,"Carol Danvers discovers her powers and identity. She battles intergalactic threats and learns self-confidence."
42,Ant-Man,"A thief gains shrinking abilities. He learns to use them for heroic purposes with humor and ingenuity."
43,Ant-Man and the Wasp,"Scott and Hope team up for a new mission. Their partnership balances action, science, and humor."
44,Doctor Strange in the Multiverse of Madness,"Doctor Strange confronts chaos across the multiverse. Mysticism and ethical dilemmas challenge him."
45,Spider-Man: Far From Home,"Peter Parker travels abroad while facing new threats. Responsibility and friendship guide his actions."
46,Spider-Man: No Way Home,"Peter confronts the consequences of his secret identity being revealed. Multiverse challenges test his limits."
47,The Avengers,"Earth’s mightiest heroes unite against Loki. Teamwork, strategy, and heroism save the world."
48,Avengers: Age of Ultron,"The Avengers face Ultron, a rogue AI. They must work together to prevent global catastrophe."
49,Doctor Strange: Multiverse of Madness,"Doctor Strange faces threats across multiple realities. Magic, responsibility, and choices drive the story."
50,Guardians of the Galaxy Vol. 3,"The guardians face cosmic challenges and personal growth. Humor, courage, and loyalty prevail."
51,The Lion King,"A young lion prince flees after his father’s death. He learns responsibility, bravery, and leadership."
52,Aladdin,"A street-smart youth discovers a magical lamp. He learns love, courage, and self-confidence through adventure."
53,Beauty and the Beast,"A young woman bonds with a cursed prince. Love and acceptance transform their worlds."
54,Frozen,"Two sisters navigate love, fear, and family responsibilities. Magic and self-discovery guide their journey."
55,Tangled,"A princess with magical hair escapes captivity. Adventure, friendship, and love shape her story."
56,Moana,"A young girl sails to save her island. Courage, self-discovery, and environmental respect drive her adventure."
57,Coco,"A boy explores the Land of the Dead to discover family history. Music, tradition, and courage intertwine."
58,Inside Out,"A young girl’s emotions guide her actions. Self-awareness and emotional intelligence are central themes."
59,Up,"An elderly man and a boy embark on a flying adventure. Friendship, loss, and adventure shape their journey."
60,WALL-E,"A robot cleans a deserted Earth while seeking love and purpose. Environmental and emotional themes emerge."
61,Toy Story,"Toys come to life when humans aren’t around. Friendship, loyalty, and imagination are highlighted."
62,Toy Story 2,"The toys face new threats and adventures. Courage and teamwork are central to the story."
63,Toy Story 3,"The toys face uncertainty as their owner grows up. Themes of loyalty, change, and love are explored."
64,Toy Story 4,"The toys embark on a journey to help a new friend. Growth, friendship, and purpose are highlighted."
65,Finding Nemo,"A clownfish searches for his lost son. Adventure, perseverance, and family bonds are central."
66,Finding Dory,"Dory searches for her family with help from friends. Memory, courage, and belonging are explored."
67,Shrek,"An ogre rescues a princess in an unexpected adventure. Humor, love, and self-acceptance are themes."
68,Shrek 2,"Shrek continues adventures with friends and family. Themes of identity, love, and humor persist."
69,Shrek the Third,"Shrek faces responsibilities as a future king. Friendship, courage, and family guide his choices."
70,Shrek Forever After,"Shrek navigates an alternate reality. Lessons about love, family, and self-discovery are emphasized."
71,Harry Potter and the Philosopher's Stone,"A young wizard begins magical education. Friendship, courage, and destiny unfold."
72,Harry Potter and the Chamber of Secrets,"Mystery and danger arise at Hogwarts. Friendship and bravery guide Harry’s actions."
73,Harry Potter and the Prisoner of Azkaban,"Harry faces new threats and learns more about magic. Loyalty, growth, and courage are central."
74,Harry Potter and the Goblet of Fire,"Harry competes in a magical tournament. Strategy, friendship, and bravery are key themes."
75,Harry Potter and the Order of the Phoenix,"Harry faces an oppressive regime. Leadership, friendship, and resilience are emphasized."
76,Harry Potter and the Half-Blood Prince,"Secrets and romance challenge Harry and friends. Courage and strategy are central."
77,Harry Potter and the Deathly Hallows: Part 1,"Harry, Hermione, and Ron go on a dangerous quest. Sacrifice and friendship drive the story."
78,Harry Potter and the Deathly Hallows: Part 2,"The final battle against Voldemort occurs. Destiny, courage, and victory are highlighted."
79,The Hunger Games,"Katniss volunteers in place of her sister. Survival, rebellion, and courage define her journey."
80,The Hunger Games: Catching Fire,"Katniss navigates a dangerous new arena. Rebellion and strategy shape her actions."
81,The Hunger Games: Mockingjay Part 1,"Katniss leads a rebellion against oppressive rulers. Strategy, leadership, and hope are key."
82,The Hunger Games: Mockingjay Part 2,"The final conflict concludes. Sacrifice, courage, and change are central."
83,Divergent,"Tris discovers her identity in a divided society. Choices, courage, and love define her journey."
84,Insurgent,"Tris challenges authority and faces personal trials. Strategy, love, and courage continue."
85,Allegiant,"Tris explores secrets of her world beyond the city. Identity, rebellion, and discovery are central."
86,The Maze Runner,"Teenagers navigate a deadly maze. Survival, teamwork, and discovery define their journey."
87,The Scorch Trials,"The maze survivors face a dangerous landscape. Courage, strategy, and friendship are tested."
88,The Death Cure,"The final battle to escape the WCKD organization unfolds. Sacrifice, loyalty, and perseverance prevail."
89,The Fault in Our Stars,"Two teenagers with illness fall in love. Life, love, and mortality are explored."
90,Me Before You,"A young woman forms a bond with a paralyzed man. Love, personal growth, and difficult choices are highlighted."
91,Pride and Prejudice,"Elizabeth Bennet navigates society and love. Pride, misunderstanding, and romance drive the story."
92,Emma,"A young woman tries to play matchmaker. Growth, love, and self-awareness are central."
93,Sense and Sensibility,"Two sisters navigate love and family obligations. Society, emotion, and choice are explored."
94,Little Women,"Four sisters grow up together, facing love, loss, and ambition. Family and personal growth are central."
95,Jojo Rabbit,"A boy in WWII discovers humanity and compassion. Humor and tragedy combine to tell the story."
96,The Grand Budapest Hotel,"A concierge and lobby boy navigate adventure, theft, and intrigue. Humor and friendship are key themes."
97,The Royal Tenenbaums,"An eccentric family deals with love, loss, and reconciliation. Comedy and emotion intertwine."
98,Fantastic Mr. Fox,"A clever fox outsmarts farmers to protect family and friends. Humor, strategy, and family are emphasized."
99,The Big Lebowski,"A laid-back man gets entangled in a kidnapping plot. Humor, confusion, and character interactions are central."
100,Inglourious Basterds,"Allied soldiers plan revenge against Nazis. Strategy, courage, and unexpected outcomes define the story."

